UserId,No Of Abuse Report,No Of Rejected Friend Requests,No Of Friend Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
64,311,319,598,903,329,709,519,1
65,71,17,61,250,645,491,736,0
66,665,999,517,583,780,428,846,0
67,893,626,212,516,478,362,262,1
68,995,558,68,852,594,421,703,1
69,878,993,882,388,170,465,0,0
70,554,662,617,530,590,95,458,0
71,620,231,306,505,893,961,232,0
72,82,243,896,71,373,860,163,1
73,468,56,428,745,94,464,275,0
74,224,392,523,879,909,202,834,1
75,661,838,622,596,831,944,628,1
76,871,985,394,768,915,341,803,1
77,179,315,522,87,86,620,187,0
78,227,479,858,166,860,844,771,0
79,364,626,287,818,949,818,961,1
80,777,695,243,150,349,272,46,0
81,607,498,552,64,946,151,719,0
82,180,267,739,781,656,578,69,1
83,477,928,585,30,142,749,239,1
84,376,174,155,484,608,357,123,1
85,585,703,666,969,42,635,110,1
86,846,357,714,204,620,501,716,1
87,527,786,213,690,146,474,155,0
88,478,96,713,805,163,133,828,1
89,525,641,112,290,986,667,577,1
90,224,408,24,609,875,45,842,0
91,765,213,423,265,436,675,439,0
92,986,974,955,607,394,115,850,0
93,458,430,273,827,437,546,686,0
94,608,901,26,559,894,414,405,0
95,54,873,254,676,367,131,533,0
96,881,446,808,125,747,204,183,1
97,615,701,960,366,480,50,658,1
98,663,490,26,996,978,604,403,0
99,728,454,937,51,998,882,203,1
100,1,976,130,912,179,847,231,1
101,925,530,347,525,699,562,773,1
102,874,96,268,746,23,950,202,1
103,476,605,918,670,894,288,881,1
104,252,427,755,447,76,321,351,1
105,584,94,198,167,652,118,242,1
106,62,807,790,625,410,78,244,1
107,108,453,549,622,318,997,601,0
108,279,391,624,753,477,318,492,0
109,383,927,168,812,352,965,671,1
110,156,644,972,664,424,979,840,1
111,298,453,651,105,801,189,388,1
112,681,405,416,173,344,321,497,1
113,840,894,304,974,195,572,7,0
114,503,593,788,312,728,52,311,0
115,677,36,476,698,913,550,467,1
116,345,998,350,218,614,129,469,1
117,161,57,487,985,487,248,702,1
118,89,757,725,887,346,274,968,1
119,374,188,158,970,864,137,929,0
120,682,849,301,259,167,489,342,1
121,412,627,833,717,65,427,904,0
122,680,988,777,303,510,392,344,0
123,841,378,442,715,863,878,183,0
124,561,188,837,814,720,59,829,1
125,530,763,719,985,385,370,65,1
126,807,916,406,534,258,529,296,0
127,836,231,806,164,51,926,637,1
128,213,817,154,803,39,594,610,1
129,379,293,7,982,405,224,368,0
130,183,143,737,440,160,880,106,1
131,485,549,148,876,133,663,28,0
132,447,354,162,861,930,320,465,0
133,576,8,862,169,130,897,325,0
134,190,19,158,492,306,851,226,0
135,573,667,790,189,895,322,76,0
136,754,579,52,32,63,582,684,1
137,740,257,704,757,174,683,328,0
138,889,409,508,589,911,583,485,0
139,21,623,264,755,518,674,191,0
140,906,618,822,298,702,895,22,1
141,96,972,595,237,416,333,254,0
142,447,101,466,975,829,54,110,1
143,265,983,276,284,943,901,608,1
144,640,962,954,826,696,528,843,1
145,527,825,232,946,710,450,322,0
146,776,72,506,20,733,466,857,1
147,617,500,863,365,959,840,943,1
148,588,532,965,589,693,61,21,0
149,818,468,768,992,567,627,772,1
150,441,238,100,455,726,394,530,1
151,704,164,336,333,528,836,514,0
152,634,479,986,792,778,825,84,1
153,183,183,372,587,41,918,999,0
154,910,499,894,273,340,929,147,1
155,30,649,698,229,659,303,847,1
156,202,330,575,672,748,296,105,0
157,541,701,551,22,249,157,290,1
158,745,160,894,579,56,934,948,1
159,898,539,258,868,651,86,300,0
160,160,260,393,462,577,554,136,1
161,396,480,658,713,354,378,543,0
162,119,424,779,350,399,104,966,1
163,63,871,627,983,109,104,805,0
164,720,291,214,133,668,611,846,0
165,159,488,25,693,860,380,32,1
166,722,392,312,519,848,622,837,0
167,29,157,320,604,421,254,193,0
168,433,129,988,875,560,702,591,1
169,185,190,236,229,197,50,401,0
170,915,734,246,891,792,823,116,0
171,329,792,823,60,303,278,501,1
172,528,832,623,545,357,521,472,0
173,429,412,807,635,792,744,825,0
174,513,695,893,990,131,73,680,0
175,103,58,420,86,501,961,515,0
176,967,315,884,267,821,222,497,1
177,743,97,933,935,813,562,785,1
178,508,522,649,647,644,950,99,1
179,285,598,370,130,690,284,959,1
180,506,716,964,703,242,629,900,1
181,147,680,647,646,473,963,931,1
182,795,805,464,399,257,866,655,1
183,542,81,437,960,343,196,364,0
184,965,394,786,576,725,235,676,0
185,705,504,908,907,226,285,37,1
186,5,554,561,242,497,495,819,0
187,521,813,441,728,601,762,308,0
188,328,425,61,231,427,73,982,0
189,837,673,234,507,76,225,917,0
190,155,547,176,721,179,864,47,1
191,879,751,534,978,330,743,763,0
192,829,985,448,55,245,986,874,1
193,254,829,366,101,196,957,269,1
194,115,309,857,40,131,229,892,1
195,393,269,376,942,715,498,863,0
196,471,361,349,451,238,751,844,0
197,4,201,961,917,839,906,869,1
198,400,508,615,734,581,567,630,1
199,463,432,34,344,926,706,890,1
200,852,205,308,902,345,196,78,0
201,122,442,19,772,817,708,831,0
202,845,474,956,672,704,452,409,0
203,902,909,381,735,86,296,682,1
204,942,259,555,937,879,889,785,1
205,736,692,660,342,763,857,654,1
206,938,471,985,941,848,364,107,0
207,150,875,893,1,80,737,17,0
208,981,704,354,901,848,257,458,1
209,833,518,909,638,699,264,301,0
210,618,771,957,380,160,20,740,1
211,162,457,961,765,783,348,335,1
212,818,158,483,61,386,938,795,1
213,927,872,342,493,710,149,169,0
214,705,877,245,94,210,574,972,1
215,272,597,705,733,259,816,245,0
216,309,246,785,564,261,767,853,0
217,333,685,339,556,618,987,337,0
218,731,368,346,469,494,364,159,1
219,353,302,988,85,386,29,649,1
220,401,756,107,575,537,248,127,1
221,341,465,250,300,921,879,967,1
222,967,83,847,325,152,555,693,0
223,758,781,11,8,988,273,854,0
224,464,683,939,782,291,778,395,1
225,815,723,157,542,256,723,12,1
226,197,201,338,98,416,827,0,0
227,196,788,798,671,806,701,965,0
228,207,326,395,363,464,642,888,1
229,38,531,923,446,19,812,990,0
230,112,517,936,441,644,620,819,1
231,884,932,545,726,566,329,578,1
232,879,651,561,800,959,440,824,1
233,871,253,106,276,850,173,359,1
234,36,539,781,867,381,831,95,1
235,54,186,227,470,785,965,955,1
236,180,147,202,671,673,391,675,1
237,426,901,989,472,317,786,438,0
238,296,573,849,77,926,323,205,1
239,975,480,213,152,447,82,996,0
240,540,151,104,841,52,143,980,0
241,795,566,558,677,560,284,885,0
242,819,508,943,994,691,510,592,1
243,690,129,333,126,100,338,796,0
244,433,190,269,421,708,504,54,1
245,117,963,698,412,65,542,77,0
246,826,737,644,51,135,405,345,1
247,792,89,142,198,229,182,878,0
248,716,568,913,791,612,778,270,0
249,176,525,0,853,346,329,748,0
250,271,573,827,438,714,706,440,1
251,940,13,929,162,419,168,330,0
252,437,291,736,400,281,215,665,0
253,848,651,771,971,996,211,367,0
254,50,561,893,630,868,693,161,0
255,871,767,730,351,851,805,491,0
256,646,613,871,827,385,144,502,1
257,686,666,377,261,336,739,437,1
258,445,221,979,180,778,536,309,1
259,208,238,700,168,679,16,562,0
260,713,352,842,874,422,887,99,1
261,519,45,419,786,302,463,477,1
262,219,517,987,709,181,312,91,1
263,998,558,601,407,58,649,173,0
264,747,822,849,475,702,906,111,1
265,560,161,234,30,597,527,514,1
266,245,99,845,304,919,993,72,0
267,963,235,616,914,620,790,970,1
268,741,575,782,955,453,989,762,0
269,469,862,778,578,915,755,358,1
270,998,66,880,149,55,352,832,0
271,39,302,984,448,31,307,845,0
272,244,912,922,719,130,751,666,1
273,120,786,475,61,187,412,534,1
274,456,887,871,243,267,542,328,1
275,944,322,684,109,831,937,558,1
276,516,421,965,744,1,862,522,0
277,867,396,256,754,738,923,588,1
278,212,872,376,761,583,346,810,1
279,881,227,712,245,889,311,401,0
280,149,500,542,941,169,138,143,1
281,120,794,140,622,164,48,397,0
282,413,279,560,441,520,133,776,0
283,550,644,524,857,80,743,749,1
284,422,430,907,601,682,672,507,0
285,891,38,400,338,286,194,473,0
286,324,381,722,961,588,210,608,1
287,524,378,926,986,566,708,198,1
288,104,920,837,513,775,261,191,0
289,521,471,752,839,410,812,560,0
290,756,356,972,959,185,66,181,0
291,952,106,821,636,119,857,603,0
292,356,241,258,24,579,201,465,1
293,73,406,84,747,574,828,129,1
294,120,379,377,555,182,670,309,0
295,0,862,144,477,933,985,571,0
296,652,783,744,746,521,559,710,1
297,846,11,138,573,277,933,859,0
298,228,498,211,276,950,336,32,0
299,717,709,672,57,248,806,3,1
300,712,65,504,736,294,733,631,1
301,922,64,377,622,210,0,720,1
302,518,688,814,435,965,687,882,0
303,750,325,15,153,514,249,268,0
304,679,289,820,752,188,168,699,0
305,527,716,214,330,586,26,145,1
306,82,189,472,35,371,17,430,0
307,168,442,174,562,295,897,350,1
308,566,875,405,202,926,714,973,1
309,461,987,424,976,215,349,935,0
310,90,675,49,235,71,984,814,0
311,66,335,30,272,389,37,281,1
312,519,216,542,661,619,256,794,1
313,803,68,768,223,278,753,108,0
314,902,897,448,211,584,900,183,0
315,318,353,88,4,933,885,909,0
316,628,547,554,257,948,39,264,1
317,466,696,243,500,834,145,724,0
318,688,592,775,210,724,780,141,0
319,190,436,228,248,702,513,282,1
320,741,149,438,760,725,558,750,1
321,319,936,102,814,280,359,829,1
322,704,890,408,554,396,396,39,0
323,803,181,655,259,710,340,726,0
324,108,469,263,240,988,50,568,0
325,36,609,307,879,870,74,354,1
326,172,239,941,657,168,84,474,1
327,718,858,170,432,640,36,726,1
328,152,120,487,239,266,849,371,0
329,669,6,101,998,109,591,414,1
330,634,101,378,187,696,166,505,0
331,379,437,282,56,617,731,374,0
332,619,660,328,808,358,380,843,0
333,638,432,123,423,622,452,697,0
334,679,569,780,535,111,558,125,1
335,654,988,676,987,622,667,805,1
336,769,444,473,584,468,127,169,1
337,894,240,375,202,594,20,136,1
338,665,922,483,826,399,987,664,1
339,252,162,261,96,383,728,63,0
340,25,545,37,648,940,449,218,1
341,278,791,711,997,29,155,221,0
342,722,173,782,961,338,47,998,1
343,548,422,127,985,945,982,460,1
344,804,356,717,259,473,464,324,0
345,377,325,148,127,510,366,515,1
346,872,749,827,458,350,400,727,0
347,274,321,749,279,873,650,604,0
348,219,117,952,773,746,420,917,0
349,312,200,635,473,278,851,127,1
350,873,507,32,553,365,532,579,1
351,401,393,73,528,570,516,960,0
352,183,637,514,935,176,581,684,1
353,162,154,452,994,766,797,760,0
354,603,906,192,498,237,350,141,0
355,739,648,53,198,684,861,173,0
356,385,539,195,663,122,356,495,0
357,185,255,612,889,66,566,576,1
358,148,477,303,838,662,820,868,1
359,41,637,377,22,759,744,11,1
360,47,447,246,426,947,693,979,1
361,60,921,581,20,769,99,65,1
362,233,559,589,866,56,979,328,0
363,832,310,89,362,944,92,496,0
364,523,502,149,624,354,418,757,1
365,78,266,179,733,942,742,336,1
366,421,720,134,240,897,893,166,0
367,390,641,745,536,7,625,879,1
368,358,549,478,56,353,197,852,1
369,789,714,130,957,204,83,952,0
370,255,311,463,649,839,81,825,1
371,74,616,805,389,115,213,289,0
372,936,251,355,49,885,10,484,0
373,445,81,425,206,552,718,959,0
374,8,359,70,986,721,774,432,1
375,227,701,1,316,930,243,212,1
376,518,283,555,416,457,772,783,1
377,340,588,870,728,11,588,624,1
378,767,306,924,982,460,658,126,0
379,775,206,231,203,214,982,577,1
380,828,515,17,455,52,109,66,0
381,99,114,641,164,895,333,496,1
382,676,573,758,803,832,290,965,0
383,80,132,839,426,996,646,206,1
384,334,886,432,699,578,249,867,0
385,321,765,629,287,233,596,277,1
386,208,865,462,126,756,369,210,1
387,27,67,52,990,941,202,228,0
388,603,660,503,430,81,907,137,1
389,351,575,815,267,522,35,101,0
390,14,870,349,983,465,893,164,0
391,754,916,909,209,893,306,606,1
392,8,957,707,754,357,935,18,0
393,127,700,439,525,125,376,67,0
394,274,595,929,738,96,620,887,0
395,474,725,3,492,377,894,332,1
396,473,972,253,620,842,40,942,1
397,383,925,875,635,99,465,59,0
398,910,805,435,437,583,770,964,0
399,245,984,587,423,111,223,627,0
400,742,642,963,588,870,431,466,1
401,683,844,108,539,887,618,401,1
402,315,17,514,281,864,476,588,1
403,450,998,718,523,965,944,426,0
404,641,789,312,353,233,546,767,0
405,718,302,985,343,320,45,173,0
406,721,325,422,551,277,949,297,0
407,23,802,11,285,766,915,244,1
408,578,474,408,480,402,587,486,1
409,767,61,462,580,139,911,998,0
410,378,417,171,5,971,866,698,1
411,680,214,968,634,580,458,628,0
412,282,36,53,428,636,706,421,0
413,410,803,798,369,655,25,550,1
414,863,884,353,993,911,187,366,0
415,239,265,29,707,928,691,145,1
416,395,715,212,418,571,195,251,1
417,878,891,533,153,643,723,610,1
418,24,615,851,779,225,890,781,1
419,867,504,928,458,804,813,342,0
420,323,6,319,343,137,800,686,1
421,359,596,801,787,308,808,241,0
422,270,314,786,369,761,145,815,1
423,17,807,410,885,452,203,180,0
424,628,700,245,64,163,929,404,1
425,697,226,315,235,366,778,814,1
426,896,690,1,898,493,143,217,1
427,375,11,552,487,642,904,290,1
428,742,14,988,166,910,275,844,1
429,556,112,403,445,553,688,862,1
430,4,794,783,798,463,505,225,1
431,673,676,696,365,711,87,455,1
432,411,939,501,147,466,438,592,0
433,487,509,259,106,993,941,507,1
434,28,555,992,631,682,898,165,0
435,216,32,636,842,567,111,952,0
436,205,135,401,740,975,519,942,1
437,195,94,669,348,38,4,97,0
438,45,777,30,686,933,630,495,1
439,495,749,923,340,250,434,798,0
440,547,294,801,761,154,22,535,1
441,394,746,584,811,236,257,311,0
442,713,122,888,696,956,537,105,0
443,466,60,57,413,454,50,131,1
444,154,661,573,974,313,178,944,1
445,749,895,259,36,718,916,490,1
446,630,239,934,856,604,759,583,0
447,718,294,293,959,750,646,987,1
448,675,197,851,398,621,407,508,1
449,995,940,932,787,36,607,796,1
450,978,964,80,481,971,514,743,1
451,29,693,605,437,241,747,943,1
452,519,104,751,198,642,277,612,0
453,90,962,483,47,20,125,919,0
454,922,753,464,960,781,767,932,1
455,990,824,593,774,330,716,786,1
456,95,342,153,448,80,776,233,1
457,560,765,522,649,527,63,782,1
458,37,756,825,705,843,91,239,1
459,448,816,860,420,573,30,267,1
460,746,343,945,55,201,101,491,0
461,994,462,166,488,213,598,288,1
462,706,262,230,339,318,961,800,0
463,908,74,789,704,912,913,902,1
464,793,119,943,894,107,370,941,1
465,633,516,714,427,158,270,175,0
466,15,150,881,305,886,407,988,1
467,535,520,772,466,547,666,320,0
468,942,613,901,59,676,78,917,1
469,603,12,199,714,144,393,624,1
470,92,171,548,214,672,584,760,1
471,126,956,465,581,490,155,61,1
472,391,990,57,92,570,753,956,1
473,180,161,596,147,720,860,736,1
474,385,240,943,65,549,372,289,1
475,85,425,379,531,731,375,64,0
476,338,379,940,55,11,485,370,0
477,785,285,11,232,936,560,901,1
478,854,452,130,152,888,46,47,0
479,975,199,764,114,147,324,718,0
480,208,474,180,56,77,950,409,1
481,267,197,334,844,314,799,386,1
482,175,554,518,298,575,250,322,0
483,516,142,4,570,372,273,350,0
484,633,45,811,733,327,120,213,0
485,510,700,611,529,757,73,650,1
486,687,193,14,753,141,194,839,1
487,614,925,573,754,917,780,857,0
488,376,671,834,995,903,798,510,0
489,109,34,526,749,374,257,825,1
490,588,394,213,353,492,784,318,1
491,988,63,116,879,64,284,959,0
492,622,741,682,4,931,425,525,0
493,954,783,560,724,575,115,621,0
494,413,260,592,67,925,302,51,1
495,672,739,635,429,813,236,877,0
496,568,158,108,893,983,989,774,1
497,220,611,63,30,11,534,427,0
498,704,250,283,368,7,825,867,1
499,903,426,461,614,836,381,504,0
500,477,537,21,270,885,249,865,0
501,107,288,814,126,182,208,195,0
502,505,178,648,904,418,580,195,0
503,861,216,641,953,873,356,263,1
504,545,240,939,202,717,672,891,0
505,279,583,585,234,917,689,477,1
506,634,537,150,791,619,978,946,1
507,556,217,253,135,555,391,807,0
508,446,11,862,690,493,406,837,1
509,273,911,860,204,337,269,368,1
510,255,899,182,679,547,2,435,1
511,136,130,983,642,219,432,361,1
512,629,981,627,646,333,93,786,0
513,194,157,836,868,551,842,584,1
514,162,67,401,220,501,364,651,0
515,219,85,598,86,558,736,589,1
516,270,293,590,521,991,985,391,0
517,205,203,124,418,860,297,578,1
518,733,137,390,228,487,908,935,1
519,71,35,361,394,649,897,778,0
520,491,502,295,114,937,454,815,0
521,751,227,240,959,377,801,265,1
522,672,135,764,881,604,258,0,1
523,866,563,235,793,843,216,753,0
524,309,764,625,57,224,322,446,1
525,154,387,515,432,188,21,251,1
526,651,727,921,489,551,99,974,0
527,880,732,889,267,759,233,859,0
528,792,288,458,865,851,270,442,0
529,193,281,14,471,888,765,310,0
530,103,520,874,553,806,890,390,0
531,993,874,29,623,643,273,232,0
532,177,269,956,78,825,12,280,0
533,516,964,599,947,480,363,635,0
534,81,245,431,726,700,459,676,1
535,172,500,526,709,871,221,885,0
536,369,488,99,107,119,613,927,1
537,252,216,419,716,223,868,903,1
538,683,973,30,583,128,429,280,0
539,179,510,410,964,603,135,983,1
540,53,149,494,938,146,19,523,0
541,57,715,718,683,572,680,163,0
542,802,85,238,287,94,618,54,0
543,738,782,58,368,872,121,534,0
544,403,100,529,755,445,689,781,1
545,734,626,293,163,509,902,561,0
546,531,449,952,175,83,437,744,0
547,710,33,721,864,828,488,840,1
548,152,72,524,945,148,271,502,0
549,364,757,687,7,983,275,815,0
550,889,626,160,334,673,656,612,0
551,962,421,224,592,458,681,565,0
552,830,356,75,279,743,978,758,1
553,427,633,915,556,363,403,892,0
554,201,118,245,997,148,543,871,0
555,79,394,213,966,132,829,352,0
556,337,613,921,967,602,813,809,0
557,3,935,777,40,462,905,893,1
558,196,646,466,192,585,206,100,0
559,74,758,185,241,433,448,440,1
560,174,282,652,212,967,344,207,0
561,887,965,606,111,870,289,195,1
562,192,105,354,736,547,794,635,0
563,314,753,198,941,175,673,526,0
564,966,422,733,977,620,253,837,1
565,523,614,940,937,802,542,938,0
566,782,427,244,382,671,21,867,0
567,643,567,831,611,43,216,450,1
568,351,100,475,925,983,841,941,1
569,111,600,292,644,251,896,983,1
570,331,79,322,550,511,154,335,1
571,532,914,733,396,447,767,805,1
572,398,73,852,534,123,67,194,0
573,740,435,162,658,373,253,311,1
574,535,132,333,404,610,153,817,1
575,298,654,148,379,19,751,688,1
576,547,373,246,756,284,976,573,0
577,976,543,753,767,411,950,333,1
578,582,750,520,496,512,567,641,0
579,605,74,840,842,308,745,24,1
580,323,843,275,775,21,259,840,0
581,377,407,817,571,456,849,981,1
582,604,650,817,652,496,561,501,0
583,793,63,33,142,598,489,682,0
584,514,532,195,571,624,747,932,0
585,930,298,984,839,798,880,350,1
586,56,44,490,636,786,838,85,1
587,964,317,836,500,38,632,501,1
588,918,295,948,859,53,874,407,1
589,261,420,430,238,99,449,994,1
590,110,563,892,817,751,255,301,1
591,121,349,398,860,183,897,114,1
592,984,359,492,38,511,476,52,0
593,30,692,292,154,543,739,204,1
594,134,471,218,259,997,625,900,1
595,572,256,894,464,73,660,75,0
596,656,652,832,390,400,533,231,0
597,258,832,71,7,862,7,169,0
598,941,962,31,228,297,56,168,0
599,366,182,513,873,425,729,277,1
600,781,753,31,137,550,599,344,0
601,693,378,403,856,508,922,578,1
602,528,310,541,401,616,244,839,1
603,396,103,405,442,454,662,132,1
604,423,967,376,572,355,188,631,1
605,940,945,579,70,102,897,478,1
606,700,52,862,988,504,654,342,0
607,589,606,556,743,719,646,506,1
608,959,801,591,924,290,955,236,1
609,638,818,704,917,285,432,967,0
610,347,421,233,978,456,949,361,1
611,728,411,408,48,598,521,171,0
612,672,816,55,972,427,899,893,0
613,454,957,149,586,697,328,991,0
614,482,698,634,628,739,30,471,0
615,506,964,936,175,952,186,590,1
616,268,836,182,176,419,979,852,0
617,320,301,657,799,888,868,66,1
618,738,503,932,134,226,293,228,0
619,833,574,631,333,991,49,250,1
620,439,325,880,425,757,694,298,0
621,517,813,43,203,975,105,900,1
622,791,869,842,982,936,154,16,0
623,34,63,493,948,334,336,596,0
624,580,595,351,451,611,454,986,0
625,703,823,66,186,974,106,580,0
626,578,832,717,714,976,644,171,0
627,385,896,764,479,757,205,29,1
628,788,946,854,322,299,80,982,1
629,727,170,216,519,356,250,552,1
630,231,121,369,702,420,112,510,0
631,852,530,515,311,2,437,209,1
632,102,577,753,123,314,708,315,0
633,770,863,390,837,371,947,271,0
634,236,273,840,758,71,279,554,0
635,982,602,62,92,541,712,818,1
636,876,940,498,917,636,672,716,1
637,837,273,189,404,135,439,565,0
638,971,858,834,48,319,345,13,1
639,856,62,162,418,322,298,705,0
640,278,708,947,926,545,107,565,0
641,16,568,104,697,890,197,993,1
642,496,200,134,777,25,63,450,0
643,924,166,960,943,395,945,288,1
644,135,227,451,923,95,932,690,0
645,686,798,506,907,480,631,183,1
646,768,616,691,356,572,792,742,1
647,25,954,353,92,355,617,625,1
648,859,677,973,772,420,42,137,0
649,342,603,781,830,180,623,452,1
650,934,551,28,360,565,993,251,1
651,817,304,490,147,772,357,843,0
652,907,300,783,638,504,439,360,1
653,704,753,692,359,522,301,374,0
654,593,523,437,991,600,158,450,1
655,728,227,475,79,32,880,709,0
656,176,440,155,947,594,33,353,1
657,870,270,863,467,804,48,888,1
658,95,274,753,581,357,757,588,0
659,186,702,505,373,27,566,576,1
660,678,349,528,12,819,993,458,0
661,805,478,514,38,414,721,581,1
662,123,633,92,375,856,661,871,1
663,953,53,270,759,231,726,557,1
664,382,198,60,809,183,12,660,0
665,334,660,931,192,335,762,638,1
666,958,590,165,98,113,448,89,0
667,413,679,185,101,990,604,979,1
668,759,151,77,45,841,162,718,0
669,230,66,856,738,109,795,745,0
670,549,793,802,235,310,106,791,1
671,226,938,659,143,181,537,641,1
672,842,622,717,606,133,480,174,1
673,752,339,455,709,431,176,436,1
674,736,487,748,91,179,659,924,1
675,327,334,400,921,125,338,216,1
676,866,227,241,152,702,50,763,0
677,257,942,338,554,566,846,497,1
678,416,368,268,197,51,684,279,1
679,841,250,854,232,525,224,929,1
680,471,875,937,749,985,233,360,1
681,807,979,176,177,578,36,446,1
682,227,693,963,524,112,539,646,1
683,478,817,805,282,968,947,767,0
684,600,603,536,899,185,118,611,1
685,188,174,592,521,176,9,878,0
686,703,905,845,893,590,520,493,0
687,170,731,424,155,867,281,986,0
688,926,246,707,442,90,334,421,0
689,464,854,613,38,794,125,308,1
690,369,640,367,843,883,257,950,1
691,320,11,272,9,254,850,280,0
692,494,123,433,591,882,499,199,0
693,770,638,357,200,676,686,928,1
694,634,576,565,844,916,171,97,0
695,233,682,858,436,359,76,110,0
696,216,217,125,550,741,529,925,0
697,479,832,861,192,854,695,354,1
698,401,727,647,709,680,232,808,1
699,809,281,561,477,345,595,936,0
700,152,699,645,233,615,606,574,1
701,852,52,11,164,488,296,873,1
702,867,924,853,67,473,585,648,1
703,889,246,661,194,725,360,192,1
704,231,692,832,830,38,56,193,1
705,515,16,447,559,399,949,709,1
706,319,828,863,322,518,418,123,0
707,318,502,878,819,222,538,138,0
708,513,763,272,435,605,673,674,1
709,781,699,394,892,802,529,336,0
710,566,826,10,380,39,900,808,0
711,485,60,294,858,927,375,475,1
712,649,733,443,635,887,103,410,0
713,948,719,248,433,721,84,933,0
714,278,31,540,352,212,401,301,0
715,44,646,96,705,87,928,593,0
716,405,408,391,89,30,838,601,0
717,404,528,248,504,509,913,262,1
718,616,802,13,31,903,928,971,1
719,344,372,901,2,5,55,597,0
720,651,339,492,584,812,451,821,1
721,24,243,898,466,80,300,513,1
722,7,911,508,8,372,128,295,1
723,656,0,736,415,70,752,535,1
724,155,562,253,6,633,898,165,0
725,463,661,944,113,238,694,947,0
726,973,679,805,962,658,493,204,1
727,447,984,384,920,802,698,427,1
728,300,42,289,67,482,920,723,0
729,522,524,217,954,105,788,301,1
730,213,533,797,869,606,474,451,0
731,792,822,278,183,865,918,857,0
732,34,483,634,724,284,350,849,0
733,637,402,165,176,789,906,279,1
734,354,190,662,573,528,483,931,1
735,280,368,788,307,273,124,590,0
736,731,825,697,762,605,352,67,1
737,481,928,688,178,976,276,873,1
738,604,139,246,378,138,81,218,0
739,513,163,387,56,981,487,645,0
740,363,677,835,893,133,362,943,0
741,7,77,497,969,723,828,843,1
742,745,882,359,496,938,421,139,0
743,459,754,622,734,139,332,106,1
744,552,921,704,132,424,508,617,1
745,816,88,797,74,973,870,310,0
746,51,340,946,522,581,247,593,1
747,803,33,998,582,262,561,716,0
748,82,53,533,202,124,798,716,0
749,237,378,836,168,890,473,825,1
750,23,539,925,554,427,666,769,1
751,709,158,122,673,600,654,10,1
752,578,544,761,596,18,520,430,1
753,212,840,722,693,720,95,763,0
754,23,500,90,303,67,745,884,0
755,324,609,273,287,417,771,423,1
756,240,543,285,782,546,567,379,1
757,768,505,164,130,773,338,869,1
758,720,21,509,879,186,166,745,1
759,660,4,551,647,127,28,915,0
760,952,923,786,673,657,56,467,1
761,906,903,459,186,52,855,839,0
762,294,212,462,396,679,322,331,1
763,579,933,904,986,93,29,584,1
764,467,699,709,529,292,891,106,0
765,760,834,356,445,455,444,947,1
766,231,23,70,693,825,55,154,1
